Date,AAPL,BTC-USD,ETH-USD,SPY,TLT,XOM
2017-11-08,41.74656677246094,7459.68994140625,,237.77455139160156,114.02107238769531,64.10301971435547
2017-11-09,41.661293029785156,7143.580078125,320.8840026855469,236.91195678710938,113.69621276855469,64.48698425292969
2017-11-10,41.523406982421875,6618.14013671875,299.25299072265625,236.83853149414062,111.98175811767578,64.28547668457031
2017-11-11,,6357.60009765625,314.6809997558594,,,
2017-11-12,,5950.06982421875,307.9079895019531,,,
2017-11-13,41.35700225830078,6559.490234375,316.71600341796875,237.0587615966797,112.21637725830078,64.24671173095703
2017-11-14,40.731781005859375,6635.75,337.6310119628906,236.50814819335938,112.974365234375,63.74291229248047
2017-11-15,40.19452667236328,7315.5400390625,333.35699462890625,235.32440185546875,114.2015609741211,62.94456100463867
2017-11-16,40.67473602294922,7871.68994140625,330.92401123046875,237.3249053955078,113.20897674560547,62.440765380859375
2017-11-17,40.44890213012695,7708.990234375,332.3940124511719,236.6274871826172,114.04814910888672,62.19273376464844
2017-11-18,,7790.14990234375,347.61199951171875,,,
2017-11-19,,8036.490234375,354.385986328125,,,
2017-11-20,40.408485412597656,8200.6396484375,366.7300109863281,237.03121948242188,114.00304412841797,62.433040618896484
2017-11-21,41.159690856933594,8071.259765625,360.4010009765625,238.58203125,114.36396789550781,62.681053161621094
2017-11-22,41.592350006103516,8253.5498046875,380.6520080566406,238.3710479736328,114.73391723632812,62.85932159423828
2017-11-23,,8038.77001953125,410.1659851074219,,,
2017-11-24,41.594730377197266,8253.6904296875,474.9110107421875,238.92160034179688,114.41812133789062,63.10734176635742
2017-11-25,,8790.919921875,466.2760009765625,,,
2017-11-26,,9330.5498046875,471.3299865722656,,,
2017-11-27,41.385536193847656,9818.349609375,480.3550109863281,238.8023223876953,114.2557144165039,62.86708068847656
2017-11-28,41.1430549621582,10058.7998046875,472.9020080566406,241.2249298095703,114.4090805053711,63.30112838745117
2017-11-29,40.289634704589844,9888.6103515625,427.52301025390625,241.07809448242188,113.28112030029297,63.766143798828125
2017-11-30,40.85302734375,10233.599609375,447.114013671875,243.18878173828125,112.90214538574219,64.55677795410156
2017-12-01,40.6628532409668,10975.599609375,466.5400085449219,242.6840057373047,114.42574310302734,64.68852233886719
2017-12-02,,11074.599609375,463.4490051269531,,,
2017-12-03,,11323.2001953125,465.8529968261719,,,
2017-12-04,40.365692138671875,11657.2001953125,470.2040100097656,242.39036560058594,114.47996520996094,64.7737808227539
2017-12-05,40.32765579223633,11916.7001953125,463.281005859375,241.5185546875,115.04961395263672,64.24671173095703
2017-12-06,40.177886962890625,14291.5,428.5880126953125,241.56446838378906,115.44745635986328,63.77393341064453
2017-12-07,40.2515869140625,17899.69921875,434.4079895019531,242.3260955810547,114.54325866699219,63.98320007324219
2017-12-08,40.26347351074219,16569.400390625,456.031005859375,243.64755249023438,114.55233764648438,64.06843566894531
2017-12-09,,15178.2001953125,473.50201416015625,,,
2017-12-10,,15455.400390625,441.72100830078125,,,
2017-12-11,41.04796600341797,16936.80078125,515.135986328125,244.3816680908203,114.31723022460938,64.35523986816406
2017-12-12,40.8173713684082,17415.400390625,651.4310302734375,244.8129425048828,114.27201080322266,64.14595794677734
2017-12-13,40.9528694152832,16408.19921875,702.7670288085938,244.7854766845703,115.13098907470703,64.42498016357422
2017-12-14,40.940982818603516,16564.0,695.8159790039062,243.78517150878906,115.61927032470703,64.25447082519531
2017-12-15,41.35700225830078,17706.900390625,684.447998046875,245.8153076171875,116.05325317382812,64.35523986816406
2017-12-16,,19497.400390625,696.208984375,,,
2017-12-17,,19140.80078125,719.9749755859375,,,
2017-12-18,41.939430236816406,19114.19921875,794.64501953125,247.3740997314453,114.99537658691406,64.28547668457031
2017-12-19,41.49250793457031,17776.69921875,826.822998046875,246.42405700683594,113.50345611572266,63.89793014526367
2017-12-20,41.44734191894531,16624.599609375,819.0859985351562,246.29486083984375,112.24662017822266,64.2312240600586
2017-12-21,41.604248046875,15802.900390625,821.06298828125,246.80218505859375,112.90084075927734,64.99080657958984
2017-12-22,41.604248046875,13831.7998046875,674.8599853515625,246.73760986328125,113.05486297607422,65.08380889892578
2017-12-23,,14699.2001953125,719.3870239257812,,,
2017-12-24,,13925.7998046875,694.1480102539062,,,
2017-12-25,,14026.599609375,765.833984375,,,
2017-12-26,40.548744201660156,16099.7998046875,773.8359985351562,246.44247436523438,113.39016723632812,65.09156799316406
2017-12-27,40.55587387084961,15838.5,762.8419799804688,246.56234741210938,114.86705017089844,65.0295639038086
2017-12-28,40.66997528076172,14606.5,737.0230102539062,247.0696563720703,114.76741027832031,65.12255096435547
2017-12-29,40.230186462402344,14656.2001953125,753.5919799804688,246.13809204101562,114.94861602783203,64.82803344726562
2017-12-30,,12952.2001953125,717.2570190429688,,,
2017-12-31,,14156.400390625,756.7329711914062,,,
2018-01-01,,13657.2001953125,772.6409912109375,,,
2018-01-02,40.95050048828125,14982.099609375,884.4439697265625,247.89974975585938,113.70726776123047,65.90538787841797
2018-01-03,40.943363189697266,15201.0,962.719970703125,249.4678192138672,114.2509536743164,67.19977569580078
2018-01-04,41.133541107177734,15599.2001953125,980.9219970703125,250.51922607421875,114.23281860351562,67.29279327392578
2018-01-05,41.601863861083984,17429.5,997.719970703125,252.18878173828125,113.9065933227539,67.23854064941406
2018-01-06,,17527.0,1041.6800537109375,,,
2018-01-07,,16477.599609375,1153.1700439453125,,,
2018-01-08,41.44734191894531,15170.099609375,1148.530029296875,252.6499786376953,113.8341064453125,67.54082489013672
