Date,USD,ethereum,binance,bitcoin,tether
2021-01-01,0.999823,730.367554,37.90501,29374.152344,1.001916
2021-01-02,1.000162,774.534973,38.241592,32127.267578,1.0006
2021-01-03,0.999736,975.50769,41.148979,32782.023438,1.000514
2021-01-04,0.999372,1040.233032,40.926353,31971.914063,1.000128
2021-01-05,0.999749,1100.006104,41.7346,33992.429688,1.002202
2021-01-06,0.999681,1207.112183,42.165955,36824.363281,1.001528
2021-01-07,0.997912,1225.678101,43.44949,39371.042969,1.0004
2021-01-08,0.999684,1224.197144,42.395317,40797.609375,1.000045
2021-01-09,0.999777,1281.077271,43.932854,40254.546875,1.002947
2021-01-10,1.00009,1262.246704,42.448475,38356.441406,1.000223
2021-01-11,0.999951,1090.145386,38.371361,35566.65625,1.000587
2021-01-12,1.000598,1043.43457,38.11161,33922.960938,1.000414
2021-01-13,0.999811,1130.73938,40.135933,37316.359375,1.000017
2021-01-14,1.000115,1218.453003,41.793682,39187.328125,0.998964
2021-01-15,1.000085,1171.834595,40.91898,36825.367188,0.999845
2021-01-16,1.000134,1233.537598,43.171825,36178.140625,1.000195
2021-01-17,1.000455,1230.172241,45.684612,35791.277344,1.000414
2021-01-18,1.000566,1257.279541,45.353172,36630.074219,1.000804
2021-01-19,1.000041,1377.295898,42.785534,36069.804688,1.000436
2021-01-20,0.999977,1382.274048,42.606899,35547.75,1.000686
2021-01-21,1.000419,1121.570923,38.64584,30825.699219,0.999696
2021-01-22,1.000275,1236.512207,40.857571,33005.761719,1.00135
2021-01-23,1.000006,1230.990601,40.815479,32067.642578,1.000555
2021-01-24,1.000162,1391.609375,41.881607,32289.378906,1.001417
2021-01-25,1.000044,1324.414795,41.623703,32366.392578,0.999971
2021-01-26,1.00007,1357.058105,41.694736,32569.849609,1.001081
2021-01-27,1.000018,1253.187134,40.994877,30432.546875,1.001764
2021-01-28,0.999578,1332.492188,42.529106,33466.097656,1.001543
2021-01-29,0.999971,1382.522827,42.852348,34316.386719,1.000486
2021-01-30,1.000026,1376.115479,44.772278,34269.523438,1.001243
2021-01-31,0.999961,1314.986206,44.275993,33114.359375,1.000808
2021-02-01,0.999946,1369.040527,51.607697,33537.175781,1.000645
2021-02-02,1.000421,1515.193726,51.056404,35510.289063,1.001427
2021-02-03,0.999751,1660.909546,52.242638,37472.089844,1.001013
2021-02-04,0.999741,1594.762695,55.925125,36926.066406,1.000804
2021-02-05,0.999945,1718.650879,67.845566,38144.308594,1.000131
2021-02-06,0.999997,1677.846802,72.733597,39266.011719,1.001129
2021-02-07,0.999886,1614.227783,68.590523,38903.441406,1.001211
2021-02-08,0.999797,1746.616821,79.831543,46196.464844,1.001044
2021-02-09,1.00004,1768.035034,107.899277,46481.105469,1.001232
2021-02-10,1.000017,1744.243408,129.737152,44918.183594,1.000722
2021-02-11,0.999844,1783.797974,124.434258,47909.332031,1.000367
2021-02-12,0.999824,1843.532593,136.948395,47504.851563,1.001692
2021-02-13,0.999861,1814.109863,133.452682,47105.515625,1.000828
2021-02-14,1.000025,1805.084106,136.426514,48717.289063,1.000746
2021-02-15,1.000039,1779.791016,129.567886,47945.058594,1.00025
2021-02-16,1.000114,1781.067505,130.056656,49199.871094,1.000403
2021-02-17,0.999841,1848.458252,164.670105,52149.007813,1.00037
2021-02-18,1.000046,1937.449219,195.932632,51679.796875,1.000019
2021-02-19,1.000051,1960.164795,332.616028,55888.132813,1.000201
2021-02-20,0.999852,1919.534058,255.953735,56099.519531,1.000068
2021-02-21,0.999945,1935.601074,293.923584,57539.945313,1.000332
2021-02-22,1.000074,1781.99292,267.509796,54207.320313,1.000111
2021-02-23,1.000221,1570.203979,230.994247,48824.425781,1.000032
2021-02-24,1.000229,1626.575684,254.359131,49705.332031,1.000757
2021-02-25,1.000072,1475.703735,233.885956,47093.851563,1.000149
2021-02-26,0.999986,1446.033691,221.680435,46339.761719,0.999994
2021-02-27,1.000031,1459.973145,225.249435,46188.453125,1.001178
2021-02-28,1.000296,1416.04895,209.574402,45137.769531,1.002115
2021-03-01,0.999757,1564.707642,254.629929,49631.242188,1.000409
2021-03-02,1.000078,1492.608765,239.522537,48378.988281,1.001022
2021-03-03,1.000002,1575.853149,241.09137,50538.242188,1.000417
2021-03-04,1.000163,1541.914307,229.945068,48561.167969,1.000074
2021-03-05,1.000277,1533.275024,226.372559,48927.304688,1.000819
2021-03-06,0.999881,1654.741577,226.666855,48912.382813,1.00019
2021-03-07,0.999994,1723.153809,240.179214,51206.691406,1.000318
2021-03-08,0.999984,1834.727905,240.318665,52246.523438,1.000432
2021-03-09,1.000074,1868.048828,293.463226,54824.117188,1.000668
2021-03-10,1.000052,1799.16626,279.358032,56008.550781,1.000526
2021-03-11,1.000129,1826.194946,289.790802,57805.121094,1.000583
2021-03-12,1.000174,1772.102417,263.685822,57332.089844,1.000343
2021-03-13,1.000232,1924.685425,276.104706,61243.085938,0.999845
2021-03-14,0.999998,1854.564331,264.636749,59302.316406,0.999791
2021-03-15,1.000084,1791.702271,254.660828,55907.199219,1.000374
2021-03-16,0.999994,1806.971802,258.100677,56804.902344,1.000058
2021-03-17,0.998902,1823.449341,269.854858,58870.894531,0.999083
2021-03-18,1.000994,1782.855103,261.704803,57858.921875,1.000925
2021-03-19,1.002438,1817.624146,264.057434,58346.652344,1.002632
2021-03-20,1.002151,1812.634644,264.741669,58313.644531,1.00223
2021-03-21,1.000962,1788.217041,264.886169,57523.421875,1.00128
2021-03-22,1.00131,1691.333984,255.900192,54529.144531,1.001811
2021-03-23,1.000804,1678.650146,255.689667,54738.945313,1.001195
2021-03-24,1.001554,1593.413452,249.851379,52774.265625,1.001301
2021-03-25,1.00083,1595.359253,234.885437,51704.160156,1.001016
2021-03-26,1.000801,1702.842041,255.104568,55137.3125,1.001222
2021-03-27,1.000274,1716.494629,269.102325,55973.511719,1.000601
2021-03-28,1.000792,1691.355957,269.191284,55950.746094,1.000607
2021-03-29,1.000024,1819.684937,275.21463,57750.199219,0.999759
2021-03-30,1.000558,1846.033691,311.426483,58917.691406,1.000896
2021-03-31,0.999605,1918.362061,302.063446,58918.832031,1.00002
2021-04-01,1.000869,1977.276855,335.212891,59095.808594,1.000464
2021-04-02,1.00035,2143.225586,339.007721,59384.3125,1.000576
2021-04-03,1.002791,2028.422485,323.133514,57603.890625,1.003085
2021-04-04,1.002957,2093.122803,351.62439,58758.554688,1.003402
2021-04-05,1.000045,2107.887207,367.772491,59057.878906,1.000254
2021-04-06,1.001423,2118.378906,403.590759,58192.359375,1.00168
2021-04-07,1.002237,1971.077271,374.658813,56048.9375,1.001855
2021-04-08,1.00024,2088.57373,418.038391,58323.953125,1.000167
2021-04-09,1.001493,2072.108887,453.178467,58245.003906,1.001098
2021-04-10,1.000591,2135.942139,472.560333,59793.234375,1.000469
2021-04-11,1.00287,2157.656982,525.385559,60204.964844,1.002177
2021-04-12,1.000371,2139.353271,598.722656,59893.453125,0.999937
2021-04-13,0.999456,2299.187744,549.586548,63503.457031,0.999275
2021-04-14,1.001436,2435.10498,549.591858,63109.695313,1.00159
2021-04-15,1.000326,2519.116211,542.63208,63314.011719,1.000877
2021-04-16,1.001033,2431.946533,510.220184,61572.789063,1.002345
2021-04-17,1.010496,2344.89502,520.416748,60683.820313,1.01153
2021-04-18,1.000095,2237.136963,481.034241,56216.183594,1.000104
2021-04-19,0.999967,2166.188721,505.092926,55724.265625,0.999865
2021-04-20,1.000054,2330.210938,587.029114,56473.03125,0.999938
2021-04-21,1.000134,2364.751709,546.02356,53906.089844,0.999932
2021-04-22,1.000028,2403.535156,506.013,51762.273438,1.00009
2021-04-23,0.999978,2363.586182,526.565247,51093.652344,1.000162
2021-04-24,1.000065,2211.625732,496.41507,50050.867188,0.999909
2021-04-25,1.000179,2316.05957,505.077057,49004.253906,0.999934
2021-04-26,0.999987,2534.481689,534.577698,54021.753906,1.000042
2021-04-27,0.999927,2662.865234,568.47052,55033.117188,1.000062
2021-04-28,1.000199,2746.380127,562.632568,54824.703125,1.000052
2021-04-29,1.000144,2756.876953,599.706543,53555.109375,0.999966
2021-04-30,0.999824,2773.207031,624.080566,57750.175781,1.000009
2021-05-01,1.000154,2945.892822,619.347229,57828.050781,1.000111
2021-05-02,0.999949,2952.056152,622.101013,56631.078125,1.000132
2021-05-03,1.000104,3431.086182,675.684082,57200.292969,1.000165
2021-05-04,1.000195,3253.629395,611.200317,53333.539063,0.999951
2021-05-05,1.000118,3522.783203,651.66272,57424.007813,0.999875
2021-05-06,1.000055,3490.880371,633.280396,56396.515625,1.000169
2021-05-07,1.000077,3484.729004,624.563293,57356.402344,1.000166
2021-05-08,1.000034,3902.647705,646.10083,58803.777344,1.000078
2021-05-09,1.000052,3928.844727,662.228577,58232.316406,1.000058
2021-05-10,1.000017,3952.293945,631.35199,55859.796875,1.000137
2021-05-11,1.000167,4168.701172,672.333923,56704.574219,0.999967
2021-05-12,1.000097,3785.848633,588.185181,49150.535156,0.999993
2021-05-13,0.999824,3715.148438,571.434509,49716.191406,0.999868
2021-05-14,0.999962,4079.057373,603.128296,49880.535156,0.999965
2021-05-15,1.00009,3638.12207,563.041687,46760.1875,0.999823
2021-05-16,1.000155,3587.506104,562.829834,46456.058594,0.999975
2021-05-17,1.0001,3282.397705,511.964386,43537.511719,0.999802
2021-05-18,1.000018,3380.070068,508.022308,42909.402344,1.00068
2021-05-19,0.999926,2460.679199,339.025482,37002.441406,1.001616
2021-05-20,0.99988,2784.294189,393.612762,40782.738281,1.001852
2021-05-21,1.000417,2430.621338,326.296326,37304.691406,1.001888
2021-05-22,1.000807,2295.705566,299.504089,37536.632813,1.001555
2021-05-23,1.000422,2109.579834,262.945679,34770.582031,1.001674
2021-05-24,1.000287,2643.591064,345.309631,38705.980469,1.001472
2021-05-25,0.99993,2706.628906,344.113983,38402.222656,1.001149
2021-05-26,1.000418,2888.69873,379.854309,39294.199219,1.001766
2021-05-27,1.000249,2736.488525,367.655792,38436.96875,1.000991
2021-05-28,1.000196,2419.90625,329.879913,35697.605469,1.000481
2021-05-29,0.999901,2279.51416,305.052155,34616.066406,1.000392
2021-05-30,0.999498,2390.30542,325.784027,35678.128906,1.000063
2021-05-31,1.000264,2714.945313,354.329346,37332.855469,1.000533
2021-06-01,1.000025,2633.518311,362.794647,36684.925781,1.000109
2021-06-02,1.000277,2706.125,401.262329,37575.179688,1.00055
2021-06-03,1.000242,2855.126465,427.807922,39208.765625,1.000571
2021-06-04,1.000749,2688.195068,391.395325,36894.40625,1.001038
2021-06-05,1.000184,2630.576904,390.431854,35551.957031,1.000313
2021-06-06,1.000577,2715.092773,393.820221,35862.378906,1.00084
2021-06-07,1.00054,2590.263184,357.310211,33560.707031,1.000789
2021-06-08,1.000497,2517.438721,354.001373,33472.632813,1.00119
2021-06-09,0.99995,2608.26709,375.73468,37345.121094,1.000572
2021-06-10,1.000317,2471.518555,352.183197,36702.597656,1.000738
2021-06-11,1.000435,2353.768799,345.933685,37334.398438,1.000511
2021-06-12,1.001136,2372.484375,343.741028,35552.515625,1.00114
2021-06-13,0.99963,2508.391602,366.648956,39097.859375,0.999733
2021-06-14,1.00003,2537.891113,368.792755,40218.476563,1.000626
2021-06-15,1.000284,2610.936768,373.566162,40406.269531,1.000377
2021-06-16,1.000168,2367.663574,347.033447,38347.0625,1.000023
2021-06-17,1.000717,2372.001953,352.738525,38053.503906,1.000745
2021-06-18,1.001384,2231.733154,336.809692,35787.246094,1.001749
2021-06-19,1.001386,2178.499023,335.71283,35615.871094,1.001451
2021-06-20,1.000962,2246.364502,340.0672,35698.296875,1.000875
2021-06-21,1.00026,1888.44751,270.984436,31676.693359,1.000089
2021-06-22,1.000805,1874.950073,261.818085,32505.660156,1.001002
2021-06-23,1.00047,1989.736328,294.490295,33723.027344,1.000746
2021-06-24,1.000126,1988.456299,308.397034,34662.4375,1.000149
2021-06-25,1.000017,1813.217285,281.620911,31637.779297,0.999845
2021-06-26,1.001436,1829.239258,279.438049,32186.277344,1.001214
2021-06-27,1.000591,1978.894653,290.567017,34649.644531,1.000642
2021-06-28,0.999925,2079.657471,289.534119,34434.335938,0.999928
2021-06-29,1.000066,2160.768311,300.211548,35867.777344,1.000024
2021-06-30,1.000089,2274.547607,303.295868,35040.835938,1.000216
2021-07-01,1.000192,2113.605469,288.218414,33572.117188,1.000226
2021-07-02,1.000035,2150.040283,287.423096,33897.046875,1.000033
2021-07-03,0.999984,2226.114258,298.237122,34668.546875,0.999956
2021-07-04,0.9995,2321.724121,307.732086,35287.78125,0.999501
2021-07-05,1.000528,2198.58252,302.377991,33746.003906,1.000667
2021-07-06,1.000059,2324.679443,320.934814,34235.195313,1.00009
2021-07-07,1.00037,2315.161865,327.522461,33855.328125,1.000708
2021-07-08,0.999945,2120.026367,310.427124,32877.371094,0.9999
2021-07-09,0.999831,2146.692383,316.484528,33798.011719,0.999639
2021-07-10,1.000154,2111.403564,316.140137,33520.519531,0.99998
2021-07-11,1.000268,2139.664795,322.031647,34240.1875,1.000225
2021-07-12,1.000372,2036.721069,316.328186,33155.847656,1.000271
2021-07-13,1.00014,1940.083984,308.811157,32702.025391,0.9999
2021-07-14,0.999954,1994.331299,309.406372,32822.347656,1.000135
2021-07-15,1.000146,1911.175659,315.244019,31780.730469,0.999947
2021-07-16,1.000336,1880.382935,302.985596,31421.539063,1.000373
2021-07-17,1.000495,1898.825195,300.497925,31533.068359,1.000552
2021-07-18,1.000574,1895.552124,302.480499,31796.810547,1.000621
2021-07-19,1.000259,1817.296631,280.018616,30817.832031,1.000093
2021-07-20,1.000275,1787.510742,264.782379,29807.347656,1.000297
2021-07-21,1.000201,1990.970825,292.531372,32110.693359,1.000266
2021-07-22,1.000292,2025.202759,293.641144,32313.105469,1.000217
2021-07-23,1.000065,2124.776611,299.28299,33581.550781,1.000326
2021-07-24,1.000233,2189.21875,302.071869,34292.445313,1.000698
2021-07-25,0.999587,2191.373779,302.436157,35350.1875,1.000163
2021-07-26,1.000108,2233.366699,304.478241,37337.535156,1.000254
2021-07-27,1.000019,2298.333496,313.6026,39406.941406,1.000132
2021-07-28,0.999798,2296.54541,313.42865,39995.90625,1.000117
2021-07-29,1.000208,2380.956787,316.749451,40008.421875,1.000278
2021-07-30,0.999843,2466.961426,322.909363,42235.546875,1.000283
2021-07-31,0.999847,2536.209961,333.549591,41626.195313,1.000272
2021-08-01,1.000161,2561.852051,333.484009,39974.894531,1.000341
2021-08-02,1.000286,2610.15332,331.103119,39201.945313,1.00054
2021-08-03,1.000244,2502.349609,322.747742,38152.980469,1.000304
2021-08-04,1.000063,2724.619873,334.918793,39747.503906,1.000094
2021-08-05,0.999597,2827.328857,337.873871,40869.554688,1.000097
2021-08-06,0.999811,2890.94165,342.136993,42816.5,1.000382
2021-08-07,0.999857,3157.23877,355.741364,44555.800781,1.000386
2021-08-08,0.999589,3013.732666,342.064758,43798.117188,1.000249
2021-08-09,0.999833,3167.856201,354.966827,46365.402344,1.000153
2021-08-10,0.999937,3141.691162,371.954376,45585.03125,1.000315
2021-08-11,0.999923,3164.245117,391.75705,45593.636719,1.000535
2021-08-12,1.000092,3043.414307,385.81897,44428.289063,1.000542
2021-08-13,0.999514,3322.21167,410.944885,47793.320313,1.00026
2021-08-14,0.999954,3265.443359,409.034485,47096.945313,1.000586
2021-08-15,0.999849,3310.50415,414.595032,47047.003906,1.000643
2021-08-16,1.000102,3156.509521,417.470856,46004.484375,1.000438
2021-08-17,1.000329,3014.845947,401.908905,44695.359375,1.000219
2021-08-18,1.000237,3020.089844,398.251465,44801.1875,1.000474
2021-08-19,0.999649,3182.702148,430.988861,46717.578125,0.999685
2021-08-20,1.000311,3286.935303,454.93631,49339.175781,1.000668
2021-08-21,0.999866,3226.083984,448.920258,48905.492188,1.00071
2021-08-22,1.000167,3242.115479,449.053497,49321.652344,1.000879
2021-08-23,1.00046,3319.257324,499.890594,49546.148438,1.000801
2021-08-24,1.000197,3172.456299,471.595459,47706.117188,1.000263
2021-08-25,1.000037,3224.915283,502.786255,48960.789063,1.000359
2021-08-26,1.000165,3100.325439,479.006104,46942.21875,1.00043
2021-08-27,0.999892,3270.60083,494.498688,49058.667969,1.000355
2021-08-28,1.000037,3244.40332,486.19693,48902.402344,1.000627
2021-08-29,1.000498,3227.002686,480.28302,48829.832031,1.001225
2021-08-30,1.000288,3224.374268,459.490753,47054.984375,1.000508
2021-08-31,1.000214,3433.732666,464.418732,47166.6875,1.000529
2021-09-01,0.999819,3834.828125,490.068726,48847.027344,1.000321
2021-09-02,1.000021,3790.98999,483.921051,49327.722656,1.000281
2021-09-03,0.99984,3940.614746,488.604706,50025.375,1.00022
2021-09-04,0.999937,3887.828369,498.07843,49944.625,1.000384
2021-09-05,0.999575,3952.133545,504.619873,51753.410156,1.000261
2021-09-06,0.999518,3928.379395,495.925018,52633.535156,0.999872
2021-09-07,1.000262,3426.394287,417.508789,46811.128906,1.000493
2021-09-08,1.000305,3497.315186,415.113159,46091.390625,1.00024
2021-09-09,1.00021,3427.340088,421.27002,46391.421875,1.000146
2021-09-10,1.000231,3211.505859,401.621796,44883.910156,1.00032
2021-09-11,1.000971,3270.278076,405.527374,45201.457031,1.000979
2021-09-12,0.99949,3410.134521,416.683228,46063.269531,0.999698
2021-09-13,1.000095,3285.511719,399.063446,44963.074219,1.000235
2021-09-14,1.000278,3429.169678,414.236237,47092.492188,1.000481
2021-09-15,1.000021,3615.282715,431.423035,48176.347656,1.00046
2021-09-16,1.000064,3571.294922,424.649231,47783.359375,1.000451
2021-09-17,0.999832,3398.538818,406.632813,47267.519531,0.999648
2021-09-18,0.999405,3432.018311,410.809296,48278.363281,0.999473
2021-09-19,1.000255,3329.447998,408.471649,47260.21875,1.000442
2021-09-20,1.000384,2958.993408,361.965912,42843.800781,0.999916
2021-09-21,1.000344,2764.431152,344.534607,40693.675781,1.000088
2021-09-22,0.999563,3077.86792,379.440338,43574.507813,1.00004
2021-09-23,1.000039,3155.523682,383.820404,44895.097656,1.000508
2021-09-24,1.000135,2931.669189,355.316284,42839.75,1.00082
2021-09-25,1.000339,2925.565674,349.880096,42716.59375,1.000989
2021-09-26,1.000255,3062.265381,344.181763,43208.539063,1.000725
2021-09-27,1.000304,2934.138916,336.191223,42235.730469,1.000513
2021-09-28,1.000387,2807.296631,333.032593,41034.542969,1.000298
2021-09-29,1.000411,2853.143311,367.989594,41564.363281,1.000282
2021-09-30,1.00014,3001.678955,387.057343,43790.894531,1.000155
2021-10-01,0.999545,3307.516113,421.643188,48116.941406,1.000178
2021-10-02,0.99979,3391.694336,428.098328,47711.488281,1.000284
2021-10-03,0.999681,3418.358643,430.50882,48199.953125,1.000201
2021-10-04,0.999416,3380.089111,425.748901,49112.902344,0.999838
2021-10-05,0.999849,3518.518555,442.706146,51514.8125,1.00044
2021-10-06,0.99999,3580.562012,435.401367,55361.449219,1.000317
2021-10-07,1.000023,3587.974854,438.761749,53805.984375,1.000375
2021-10-08,0.999791,3563.759277,419.102051,53967.847656,1.000116
2021-10-09,0.999896,3575.716797,421.549469,54968.222656,1.000046
2021-10-10,1.000598,3425.852783,405.069305,54771.578125,1.001018
2021-10-11,1.000392,3545.354004,413.456207,57484.789063,1.000696
2021-10-12,0.999962,3492.573242,443.867523,56041.058594,1.000096
2021-10-13,1.000147,3606.20166,470.749695,57401.097656,1.000097
2021-10-14,0.999742,3786.01416,472.0224,57321.523438,1.000034
2021-10-15,0.999239,3862.634766,473.702637,61593.949219,0.999152
2021-10-16,0.999968,3830.38208,465.642456,60892.179688,1.00004
2021-10-17,1.000299,3847.104492,470.625549,61553.617188,1.00028
2021-10-18,1.000058,3748.760254,485.111023,62026.078125,1.000019
2021-10-19,0.999939,3877.650879,488.148865,64261.992188,1.000117
2021-10-20,0.99959,4155.992188,501.020325,65992.835938,0.99994
2021-10-21,1.000118,4054.322754,471.256927,62210.171875,1.000022
2021-10-22,1.000334,3970.181885,478.643158,60692.265625,0.999879
2021-10-23,1.001199,4171.663574,485.906433,61393.617188,1.000823
2021-10-24,1.000308,4087.903076,476.633118,60930.835938,1.000223
2021-10-25,0.99965,4217.876953,484.645081,63039.824219,0.999375
2021-10-26,1.000135,4131.102051,478.025055,60363.792969,1.000228
2021-10-27,1.000273,3930.257324,449.007996,58482.386719,1.000791
2021-10-28,0.999921,4287.318848,492.015533,60622.136719,1.000484
2021-10-29,0.999829,4414.746582,529.622131,62227.964844,1.000049
2021-10-30,1.000131,4325.650391,527.921204,61888.832031,1.000518
2021-10-31,0.999724,4288.074219,524.364441,61318.957031,1.000376
2021-11-01,0.999861,4324.626953,551.25592,61004.40625,1.000291
2021-11-02,0.999896,4584.798828,554.447632,63226.402344,1.000815
