Date,Open,High,Low,Close,Adj Close,Volume
2020-07-01,0.999958,1.007956,0.997603,1.000325,1.000325,277293073
2020-07-02,0.999833,1.009212,0.997872,1.005746,1.005746,268646941
2020-07-03,1.005925,1.009515,0.997691,1.000238,1.000238,250629643
2020-07-04,1.000101,1.009561,0.994638,0.999576,0.999576,230791965
2020-07-05,0.999201,1.006133,0.995487,0.997817,0.997817,229374669
2020-07-06,0.997817,1.004530,0.993354,0.999207,0.999207,262308134
2020-07-07,0.998442,1.004348,0.992794,1.000145,1.000145,251459273
2020-07-08,1.000214,1.003713,0.998258,0.999224,0.999224,338710426
2020-07-09,0.999224,1.006821,0.998308,1.003674,1.003674,262565337
2020-07-10,1.003493,1.006021,0.997006,0.999930,0.999930,268662387
2020-07-11,1.000205,1.003831,0.997441,1.000822,1.000822,228429648
2020-07-12,1.000794,1.003199,0.997520,0.998243,0.998243,247223175
2020-07-13,0.998243,1.003159,0.995128,1.002431,1.002431,284329507
2020-07-14,1.002431,1.003837,0.997688,0.998808,0.998808,272931352
2020-07-15,0.998682,1.005205,0.997554,0.999521,0.999521,257140387
2020-07-16,0.999360,1.005591,0.998548,0.999943,0.999943,278630288
2020-07-17,0.999669,1.005417,0.997751,0.999219,0.999219,248319472
2020-07-18,0.999219,1.006846,0.997042,0.997559,0.997559,237728742
2020-07-19,0.997522,1.006379,0.994140,0.997108,0.997108,239654085
2020-07-20,0.998000,1.004792,0.997286,0.998830,0.998830,241979767
2020-07-21,0.998962,1.004413,0.996163,0.997548,0.997548,268162461
2020-07-22,0.997712,1.005220,0.996273,1.000700,1.000700,275630027
2020-07-23,1.000350,1.003814,0.996281,0.997655,0.997655,295608573
2020-07-24,0.997808,1.002034,0.996235,0.998066,0.998066,273580676
2020-07-25,0.998228,1.001715,0.996396,0.997805,0.997805,280171826
2020-07-26,0.997878,1.003299,0.991875,0.997417,0.997417,352834293
2020-07-27,0.997425,1.005374,0.993420,0.998513,0.998513,470335314
2020-07-28,0.996918,1.004520,0.996190,0.998609,0.998609,377869121
2020-07-29,0.998651,1.007693,0.997218,1.000050,1.000050,344833565
2020-07-30,1.000302,1.003759,0.998021,0.999816,0.999816,332715300
2020-07-31,0.999368,1.013069,0.997397,1.006483,1.006483,352387844
2020-08-01,1.006483,1.011432,0.993233,0.996376,0.996376,428788849
2020-08-02,0.996524,1.020435,0.992635,0.997364,0.997364,481496070
2020-08-03,0.997513,1.002805,0.992855,1.000051,1.000051,370719446
2020-08-04,1.000006,1.002474,0.998005,1.000050,1.000050,344445344
2020-08-05,1.000030,1.002449,0.997234,1.000128,1.000128,351757028
2020-08-06,0.999911,1.001557,0.998984,1.000237,1.000237,338670829
2020-08-07,1.000172,1.003955,0.998585,1.000269,1.000269,362226389
2020-08-08,1.000435,1.001774,0.998416,0.999428,0.999428,334134858
2020-08-09,0.999289,1.004458,0.997802,1.001760,1.001760,326988690
2020-08-10,1.001762,1.014610,0.997990,1.002072,1.002072,405468663
2020-08-11,1.001666,1.006430,0.999963,1.001999,1.001999,421389774
2020-08-12,1.001956,1.007682,0.997485,1.004198,1.004198,402384827
2020-08-13,1.004400,1.008227,0.996915,1.005012,1.005012,453460226
2020-08-14,1.005192,1.010326,0.996070,0.999605,0.999605,404192611
2020-08-15,0.999650,1.002845,0.996137,0.998965,0.998965,363887509
2020-08-16,0.998965,1.002602,0.994583,0.999266,0.999266,378056620
2020-08-17,0.999266,1.002630,0.994422,0.998022,0.998022,436462695
2020-08-18,0.998166,1.005495,0.995667,1.001340,1.001340,415507652
2020-08-19,1.000813,1.006559,0.999323,1.001581,1.001581,407521488
2020-08-20,1.001677,1.001852,0.997664,0.999720,0.999720,351261530
2020-08-21,0.999707,1.004329,0.997619,1.002434,1.002434,402846713
2020-08-22,1.002302,1.004987,0.998793,0.999939,0.999939,336278907
2020-08-23,1.000162,1.001738,0.998639,0.999468,0.999468,299959710
2020-08-24,0.999399,1.001786,0.997564,1.000630,1.000630,315086650
2020-08-25,1.000357,1.006696,0.999952,1.001707,1.001707,336440006
2020-08-26,1.001791,1.002210,0.999248,1.001392,1.001392,307466693
2020-08-27,1.001056,1.002844,0.999356,1.001289,1.001289,319885737
2020-08-28,1.001603,1.002739,0.999893,1.001707,1.001707,330211751
2020-08-29,1.001482,1.003771,1.000109,1.002604,1.002604,321728690
2020-08-30,1.002598,1.005953,0.997738,1.001255,1.001255,384070993
2020-08-31,1.000783,1.005586,0.998135,1.003909,1.003909,388657503
2020-09-01,1.003649,1.007609,0.997956,1.001186,1.001186,478155175
2020-09-02,1.000508,1.006261,0.997071,1.000191,1.000191,545699500
2020-09-03,1.000835,1.007958,0.998242,1.003031,1.003031,569632814
2020-09-04,1.004201,1.010545,0.997156,1.003459,1.003459,549725309
2020-09-05,1.003757,1.014829,1.001079,1.004733,1.004733,591701985
2020-09-06,1.004733,1.008301,0.997469,1.001080,1.001080,447289979
2020-09-07,1.001726,1.005793,0.999268,1.001541,1.001541,465106040
2020-09-08,1.001630,1.006443,0.995792,1.003494,1.003494,437692971
2020-09-09,1.003621,1.004899,0.999581,1.001890,1.001890,453341080
2020-09-10,1.002049,1.011409,0.998132,1.002741,1.002741,430412791
2020-09-11,1.002741,1.010348,0.996073,1.001511,1.001511,412149370
2020-09-12,1.001418,1.010418,1.000127,1.001717,1.001717,366444889
2020-09-13,1.001972,1.007221,0.999416,1.001317,1.001317,406389837
2020-09-14,1.001263,1.011640,0.996996,1.001939,1.001939,477277457
2020-09-15,1.001985,1.003827,0.999017,1.000000,1.000000,406597604
2020-09-16,1.000536,1.002097,0.996670,0.997973,0.997973,425437479
2020-09-17,0.997976,1.002562,0.996098,1.000429,1.000429,457241421
2020-09-18,1.000356,1.041002,0.988464,0.999641,0.999641,442248343
2020-09-19,0.998770,1.003806,0.997430,1.001400,1.001400,372786315
2020-09-20,1.001564,1.003537,0.999424,1.001182,1.001182,380417648
2020-09-21,1.001177,1.006842,0.999689,1.001843,1.001843,452203611
2020-09-22,1.001931,1.002476,0.999342,1.000260,1.000260,343552519
2020-09-23,1.000492,1.002048,1.000244,1.000996,1.000996,570244649
2020-09-24,1.000947,1.001663,1.000224,1.000224,1.000224,485569424
2020-09-25,1.000265,1.000592,1.000146,1.000360,1.000360,454308022
2020-09-26,1.000432,1.000698,1.000230,1.000563,1.000563,403554372
2020-09-27,1.000563,1.000711,1.000349,1.000474,1.000474,372960063
2020-09-28,1.000474,1.000783,0.999987,1.000125,1.000125,394663533
2020-09-29,1.000314,1.000869,1.000077,1.000551,1.000551,270605261
2020-09-30,1.000552,1.000787,1.000245,1.000564,1.000564,292596570
2020-10-01,1.000566,1.001076,1.000237,1.000816,1.000816,487472949
2020-10-02,1.000816,1.001267,1.000419,1.000497,1.000497,465525692
2020-10-03,1.000563,1.001118,1.000385,1.000973,1.000973,238468460
2020-10-04,1.000974,1.002574,1.000320,1.000369,1.000369,241403386
2020-10-05,1.000368,1.001436,1.000173,1.000472,1.000472,360918052
2020-10-06,1.000449,1.001140,1.000285,1.000883,1.000883,425031250
2020-10-07,1.000881,1.001395,0.996671,1.000168,1.000168,374254318
2020-10-08,1.000165,1.001177,0.999814,1.000431,1.000431,299815037
2020-10-09,1.000429,1.001507,1.000310,1.000727,1.000727,327727313
2020-10-10,1.000407,1.000798,1.000182,1.000291,1.000291,427180195
2020-10-11,1.000291,1.000839,1.000222,1.000751,1.000751,403861256
2020-10-12,1.000706,1.001140,1.000184,1.000391,1.000391,416476986
2020-10-13,1.000392,1.000787,1.000059,1.000430,1.000430,387594913
2020-10-14,1.000430,1.001023,1.000229,1.000803,1.000803,409435371
2020-10-15,1.000864,1.001194,1.000097,1.000452,1.000452,391984913
2020-10-16,1.000424,1.001641,1.000269,1.000643,1.000643,395543365
2020-10-17,1.000447,1.000970,1.000237,1.000444,1.000444,333120960
2020-10-18,1.000408,1.000808,1.000170,1.000431,1.000431,307862058
2020-10-19,1.000322,1.000932,1.000271,1.000638,1.000638,413360977
2020-10-20,1.000414,1.000692,1.000225,1.000439,1.000439,465386778
2020-10-21,1.000431,1.000868,0.998924,0.999956,0.999956,604292164
2020-10-22,0.999977,1.000288,0.999701,0.999993,0.999993,576937506
2020-10-23,1.000018,1.000718,0.999801,1.000313,1.000313,437724211
2020-10-24,1.000313,1.001038,0.999866,0.999928,0.999928,398566286
2020-10-25,0.999928,1.000431,0.999796,1.000195,1.000195,402083347
2020-10-26,1.000195,1.000508,0.997837,1.000176,1.000176,3320438919
2020-10-27,1.000176,1.000542,0.999606,0.999995,0.999995,458104673
2020-10-28,0.999995,1.000560,0.999929,1.000082,1.000082,528512165
2020-10-29,1.000082,1.000431,0.999706,1.000146,1.000146,470459196
2020-10-30,1.000146,1.000659,1.000087,1.000265,1.000265,431217496
2020-10-31,1.000265,1.000329,0.999830,1.000278,1.000278,373758762
2020-11-01,1.000278,1.000472,0.999709,1.000304,1.000304,351799541
2020-11-02,1.000304,1.000835,0.999645,1.000268,1.000268,441571379
2020-11-03,1.000268,1.000550,0.999972,0.999972,0.999972,442283090
2020-11-04,0.999972,1.000454,0.999893,1.000348,1.000348,472844826
2020-11-05,1.000348,1.000942,0.999834,0.999988,0.999988,539340014
2020-11-06,0.999988,1.000414,0.999484,1.000141,1.000141,591081548
2020-11-07,1.000141,1.000787,0.989995,1.000101,1.000101,557991189
2020-11-08,1.000101,1.000996,0.999607,0.999957,0.999957,476614619
2020-11-09,0.999957,1.000477,0.998886,0.999932,0.999932,622091070
2020-11-10,0.999932,1.000507,0.999474,1.000325,1.000325,343661075
2020-11-11,1.000325,1.000463,0.999744,1.000150,1.000150,485540181
2020-11-12,1.000150,1.000403,0.999079,0.999207,0.999207,537060492
2020-11-13,0.999207,1.000314,0.999063,1.000012,1.000012,540727846
2020-11-14,1.000012,1.000350,0.999467,1.000224,1.000224,449535541
2020-11-15,1.000224,1.000285,0.999802,1.000168,1.000168,283637646
2020-11-16,1.000168,1.000382,0.999431,1.000162,1.000162,512767433
2020-11-17,0.999949,1.000270,0.998261,1.000076,1.000076,580963624
2020-11-18,1.000076,1.000851,0.999851,1.000121,1.000121,656269397
2020-11-19,1.000121,1.000476,0.999907,1.000188,1.000188,494516423
2020-11-20,1.000188,1.000703,0.999724,1.000039,1.000039,566516098
2020-11-21,1.000039,1.000237,0.999411,0.999992,0.999992,617179131
2020-11-22,0.999992,1.000300,0.998277,0.999978,0.999978,612750450
2020-11-23,0.999978,1.000325,0.998512,0.999820,0.999820,684467515
2020-11-24,0.999837,1.000375,0.996788,0.999830,0.999830,767726663
2020-11-25,0.999830,1.000292,0.995640,1.000053,1.000053,684764089
2020-11-26,1.000053,1.001304,0.999618,1.000235,1.000235,1029792049
2020-11-27,1.000235,1.001080,0.999814,1.000769,1.000769,579819717
2020-11-28,1.000769,1.000860,0.999903,1.000043,1.000043,505337859
2020-11-29,1.000043,1.000273,0.999523,1.000073,1.000073,469745856
2020-11-30,1.000073,1.000480,0.999663,1.000192,1.000192,707506103
2020-12-01,1.000192,1.000818,0.999900,1.000227,1.000227,791656264
2020-12-02,1.000227,1.000812,0.999002,1.000052,1.000052,659579565
2020-12-03,1.000052,1.000623,0.999597,0.999988,0.999988,613512931
2020-12-04,0.999988,1.000437,0.999565,1.000054,1.000054,616718869
2020-12-05,1.000054,1.000335,0.999653,1.000024,1.000024,528929182
2020-12-06,1.000025,1.000427,0.999935,1.000270,1.000270,500125499
2020-12-07,1.000270,1.000517,0.999969,1.000008,1.000008,503390382
2020-12-08,1.000008,1.000865,0.999721,1.000102,1.000102,624652067
2020-12-09,1.000102,1.008943,0.999902,1.000789,1.000789,661526815
2020-12-10,1.000752,1.000908,0.999920,1.000046,1.000046,386067664
2020-12-11,1.000046,1.001366,0.997872,0.999993,0.999993,575419053
2020-12-12,0.999993,1.000613,0.994334,1.000001,1.000001,372750751
2020-12-13,1.000001,1.000518,0.999590,0.999888,0.999888,544392773
2020-12-14,0.999888,1.000444,0.999800,0.999972,0.999972,511228529
2020-12-15,1.000073,1.000450,0.999866,1.000232,1.000232,558700049
2020-12-16,1.000175,1.000681,0.999368,0.999866,0.999866,777969586
2020-12-17,0.999802,1.000171,0.998449,0.999829,0.999829,1292144145
2020-12-18,0.999763,1.000276,0.999646,0.999897,0.999897,794460442
2020-12-19,0.999897,1.000286,0.999640,0.999960,0.999960,749344674
2020-12-20,0.999960,1.000130,0.999719,0.999893,0.999893,730501642
2020-12-21,0.999893,1.000328,0.998984,0.999866,0.999866,835998783
2020-12-22,0.999866,1.001751,0.999594,0.999971,0.999971,1004407433
2020-12-23,0.999971,1.000872,0.999678,0.999939,0.999939,994946010
2020-12-24,0.999908,1.000305,0.999478,1.000074,1.000074,822668329
2020-12-25,1.000148,1.000405,0.999690,1.000190,1.000190,768443745
2020-12-26,1.000190,1.000476,0.999349,0.999733,0.999733,837782777
2020-12-27,0.999803,1.000221,0.992177,1.000079,1.000079,1168083151
2020-12-28,1.000079,1.000355,0.999504,1.000101,1.000101,1037472251
2020-12-29,1.000101,1.001093,0.998616,0.999978,0.999978,1102774805
2020-12-30,1.000047,1.000455,0.999444,1.000011,1.000011,1158073232
2020-12-31,1.000011,1.000407,0.999507,0.999807,0.999807,1099562416
2021-01-01,0.999807,1.000290,0.999542,0.999823,0.999823,944050095
2021-01-02,0.999896,1.000324,0.997097,1.000162,1.000162,1679209330
2021-01-03,1.000167,1.000610,0.998405,0.999736,0.999736,1828596899
2021-01-04,0.999624,1.000492,0.998751,0.999372,0.999372,2201035267
2021-01-05,0.999425,1.000269,0.998707,0.999749,0.999749,1662321027
2021-01-06,0.999749,1.000082,0.997871,0.999681,0.999681,1791474728
2021-01-07,0.999681,1.000319,0.997654,0.997912,0.997912,2265386969
2021-01-08,0.997910,1.002245,0.997908,0.999684,0.999684,2236539817
2021-01-09,0.999684,1.000782,0.999324,0.999777,0.999777,1553771951
2021-01-10,0.999837,1.001349,0.999442,1.000090,1.000090,1917152178
2021-01-11,1.000090,1.003255,0.999834,0.999951,0.999951,3166658513
2021-01-12,0.999963,1.001036,0.999460,1.000598,1.000598,1934826250
2021-01-13,1.000598,1.001983,0.999510,0.999811,0.999811,1739625823
2021-01-14,0.999810,1.000645,0.999376,1.000115,1.000115,1810728488
2021-01-15,1.000117,1.000784,0.999642,1.000085,1.000085,1630000401
2021-01-16,1.000086,1.000955,0.999688,1.000134,1.000134,1671304227
2021-01-17,1.000134,1.000498,0.999849,1.000455,1.000455,1463914697
2021-01-18,1.000468,1.000806,1.000020,1.000566,1.000566,1412016575
2021-01-19,1.000566,1.001810,0.999968,1.000041,1.000041,2019188111
2021-01-20,0.999992,1.000329,0.999508,0.999977,0.999977,1814079623
2021-01-21,0.999977,1.000781,0.999710,1.000419,1.000419,1853154939
2021-01-22,1.000419,1.001229,0.999774,1.000275,1.000275,2196461508
2021-01-23,1.000277,1.000354,0.999894,1.000006,1.000006,1287925958
2021-01-24,1.000006,1.001351,0.999756,1.000162,1.000162,1335242694
2021-01-25,1.000200,1.000531,0.999915,1.000044,1.000044,1637162641
2021-01-26,1.000044,1.000715,0.999915,1.000070,1.000070,1584592377
2021-01-27,1.000070,1.001882,0.999354,1.000018,1.000018,1674268317
2021-01-28,1.000004,1.000261,0.999257,0.999578,0.999578,1532598984
2021-01-29,0.998906,1.000838,0.998471,0.999971,0.999971,2410429032
2021-01-30,0.999933,1.000359,0.999722,1.000026,1.000026,1443344471
2021-01-31,0.999960,1.000232,0.999582,0.999961,0.999961,1245897595
