Date,Open,High,Low,Close,Adj Close,Volume
2022-03-11,1.000580,1.000637,1.000068,1.000200,1.000200,58051333936
2022-03-12,1.000214,1.000372,1.000017,1.000081,1.000081,38101124958
2022-03-13,1.000062,1.000367,1.000062,1.000199,1.000199,42268710956
2022-03-14,1.000190,1.000381,1.000112,1.000219,1.000219,52613345077
2022-03-15,1.000216,1.000503,1.000104,1.000334,1.000334,52961395870
2022-03-16,1.000332,1.000501,1.000174,1.000435,1.000435,74673285342
2022-03-17,1.000428,1.000618,1.000243,1.000500,1.000500,52913216462
2022-03-18,1.000480,1.000897,1.000329,1.000483,1.000483,64969319781
2022-03-19,1.000487,1.000769,1.000383,1.000510,1.000510,58881848497
2022-03-20,1.000505,1.000738,1.000375,1.000427,1.000427,57837125338
2022-03-21,1.000417,1.000541,1.000297,1.000347,1.000347,64828148834
2022-03-22,1.000350,1.000707,1.000304,1.000337,1.000337,71455738693
2022-03-23,1.000350,1.000701,1.000261,1.000409,1.000409,68181581345
2022-03-24,1.000453,1.000667,1.000282,1.000600,1.000600,77842904360
2022-03-25,1.000604,1.000630,1.000351,1.000406,1.000406,64320675570
2022-03-26,1.000423,1.000540,1.000330,1.000361,1.000361,39871932342
2022-03-27,1.000361,1.000606,1.000268,1.000376,1.000376,59103680528
2022-03-28,1.000365,1.000651,1.000226,1.000412,1.000412,86217871591
2022-03-29,1.000406,1.000662,1.000280,1.000450,1.000450,80447404974
2022-03-30,1.000428,1.000574,1.000219,1.000278,1.000278,79713341087
2022-03-31,1.000272,1.000734,1.000200,1.000304,1.000304,90489848043
2022-04-01,1.000306,1.000639,1.000228,1.000358,1.000358,92250507858
2022-04-02,1.000369,1.000523,1.000276,1.000344,1.000344,79916606735
2022-04-03,1.000348,1.000681,1.000195,1.000273,1.000273,67183096448
2022-04-04,1.000276,1.000451,1.000152,1.000228,1.000228,79820905659
2022-04-05,1.000222,1.000437,1.000122,1.000194,1.000194,71594982811
2022-04-06,1.000199,1.000465,1.000086,1.000155,1.000155,92098510461
2022-04-07,1.000149,1.000492,1.000093,1.000262,1.000262,61906251582
2022-04-08,1.000261,1.000547,1.000173,1.000288,1.000288,64297486911
2022-04-09,1.000284,1.000581,1.000152,1.000372,1.000372,40069848333
2022-04-10,1.000354,1.000568,1.000240,1.000292,1.000292,43341611560
2022-04-11,1.000299,1.000607,1.000194,1.000348,1.000348,73914574528
2022-04-12,1.000351,1.000552,1.000178,1.000435,1.000435,68489224153
2022-04-13,1.000442,1.000442,1.000128,1.000275,1.000275,57894656914
2022-04-14,1.000276,1.000416,1.000054,1.000127,1.000127,52908937427
2022-04-15,1.000120,1.000440,1.000070,1.000239,1.000239,42988969647
2022-04-16,1.000237,1.000392,1.000130,1.000296,1.000296,35315439111
2022-04-17,1.000291,1.000436,1.000144,1.000314,1.000314,40964576376
2022-04-18,1.000321,1.000504,1.000153,1.000218,1.000218,68691204704
2022-04-19,1.000214,1.000419,1.000155,1.000343,1.000343,57975539645
2022-04-20,1.000351,1.000596,1.000153,1.000202,1.000202,66021482830
2022-04-21,1.000203,1.000490,1.000119,1.000157,1.000157,77014328066
2022-04-22,1.000142,1.000366,1.000078,1.000234,1.000234,60728483573
2022-04-23,1.000221,1.000382,1.000104,1.000228,1.000228,38357597167
2022-04-24,1.000218,1.000446,1.000165,1.000344,1.000344,39519383045
2022-04-25,1.000346,1.000393,1.000103,1.000145,1.000145,73256647805
2022-04-26,1.000131,1.000265,1.000040,1.000073,1.000073,69068297656
2022-04-27,1.000059,1.000284,1.000013,1.000153,1.000153,61043327313
2022-04-28,1.000155,1.000292,1.000028,1.000191,1.000191,68392086439
2022-04-29,1.000200,1.000238,0.999986,1.000020,1.000020,67899674445
2022-04-30,1.000001,1.000251,0.999970,1.000155,1.000155,57266339850
2022-05-01,1.000152,1.000374,1.000099,1.000113,1.000113,61420362842
2022-05-02,1.000100,1.000281,0.999926,0.999955,0.999955,63751566652
2022-05-03,0.999952,1.000233,0.999902,1.000045,1.000045,52924035065
2022-05-04,1.000021,1.000142,0.999940,1.000038,1.000038,72222517203
2022-05-05,1.000039,1.000197,0.999920,0.999988,0.999988,85679638685
2022-05-06,0.999990,1.000215,0.999916,0.999982,0.999982,81327879764
2022-05-07,0.999971,1.000049,0.999774,0.999921,0.999921,57202594793
2022-05-08,0.999919,1.000063,0.999740,0.999854,0.999854,77900163502
2022-05-09,0.999870,1.000134,0.999770,0.999909,0.999909,120710294040
2022-05-10,0.999945,1.000134,0.999709,0.999791,0.999791,128692083965
2022-05-11,0.999790,0.999996,0.993459,0.995872,0.995872,159700404396
2022-05-12,0.995879,0.997736,0.948486,0.997609,0.997609,141052751792
2022-05-13,0.997527,0.999193,0.996945,0.998239,0.998239,87009885196
2022-05-14,0.998242,0.998971,0.997791,0.998780,0.998780,60781876668
2022-05-15,0.998780,0.999077,0.998492,0.999069,0.999069,53979914930
2022-05-16,0.999084,0.999153,0.998659,0.998779,0.998779,62504490441
2022-05-17,0.998772,0.999107,0.998650,0.998909,0.998909,55745978864
2022-05-18,0.998902,0.999150,0.998542,0.998802,0.998802,56067250693
2022-05-19,0.998786,0.999122,0.998550,0.998971,0.998971,59651836770
2022-05-20,0.998956,0.999370,0.998700,0.998818,0.998818,54960961209
2022-05-21,0.998894,0.999038,0.998599,0.998793,0.998793,34924240134
2022-05-22,0.998787,0.999121,0.998590,0.999066,0.999066,40965864100
2022-05-23,0.999065,0.999294,0.998829,0.999088,0.999088,58585612765
2022-05-24,0.999048,0.999204,0.998847,0.999107,0.999107,51053417289
2022-05-25,0.999093,0.999185,0.998817,0.998976,0.998976,50311844127
2022-05-26,0.998967,0.999212,0.998783,0.998907,0.998907,67771285444
2022-05-27,0.998902,0.999184,0.998787,0.998863,0.998863,67961870830
2022-05-28,0.999011,0.999189,0.998779,0.999002,0.999002,37159842905
2022-05-29,0.999008,0.999246,0.998909,0.999178,0.999178,34572061153
2022-05-30,0.999187,0.999497,0.998958,0.999376,0.999376,65155466235
2022-05-31,0.999378,0.999493,0.999285,0.999388,0.999388,62841794272
2022-06-01,0.999381,0.999502,0.998869,0.999260,0.999260,68866735590
2022-06-02,0.999232,0.999491,0.999104,0.999317,0.999317,50520845556
2022-06-03,0.999295,0.999491,0.999022,0.999170,0.999170,43789145735
2022-06-04,0.999174,0.999357,0.999032,0.999313,0.999313,30834183068
2022-06-05,0.999309,0.999358,0.999194,0.999296,0.999296,30872185296
2022-06-06,0.999286,0.999537,0.999221,0.999311,0.999311,51540243030
2022-06-07,0.999298,0.999571,0.999147,0.999414,0.999414,67008901675
2022-06-08,0.999415,0.999564,0.999199,0.999262,0.999262,52176620958
2022-06-09,0.999273,0.999499,0.999159,0.999314,0.999314,42359067750
2022-06-10,0.999352,0.999445,0.999109,0.999180,0.999180,49685289881
2022-06-11,0.999182,0.999308,0.999009,0.999025,0.999025,48736816876
2022-06-12,0.999014,0.999149,0.998842,0.999080,0.999080,59051274983
2022-06-13,0.999069,0.999126,0.997547,0.998594,0.998594,107410569162
2022-06-14,0.998602,0.999108,0.998555,0.998954,0.998954,81024425505
2022-06-15,0.998934,0.999023,0.998183,0.998942,0.998942,89017006423
2022-06-16,0.998920,0.999134,0.998642,0.998930,0.998930,52400892767
2022-06-17,0.998951,0.999074,0.998681,0.999036,0.999036,43836219287
2022-06-18,0.999018,0.999045,0.998454,0.998667,0.998667,61973128141
2022-06-19,0.998656,0.999012,0.998470,0.998969,0.998969,55603476684
2022-06-20,0.998947,0.999111,0.998629,0.998957,0.998957,52157987688
2022-06-21,0.998971,0.999206,0.998898,0.999094,0.999094,50165859626
2022-06-22,0.999093,0.999126,0.998872,0.999095,0.999095,46130025676
2022-06-23,0.999096,0.999328,0.998898,0.999280,0.999280,43198538082
2022-06-24,0.999259,0.999504,0.999137,0.999325,0.999325,46919267632
2022-06-25,0.999336,0.999611,0.999273,0.999548,0.999548,36390241725
2022-06-26,0.999551,0.999595,0.999374,0.999398,0.999398,37228683270
2022-06-27,0.999458,0.999599,0.998984,0.999092,0.999092,39296953700
2022-06-28,0.999104,0.999134,0.998782,0.998832,0.998832,40773930242
2022-06-29,0.998844,0.999058,0.998519,0.998884,0.998884,44380636377
2022-06-30,0.998888,0.999093,0.998762,0.998819,0.998819,45578518327
2022-07-01,0.998860,0.999137,0.998705,0.998867,0.998867,49683415220
2022-07-02,0.998855,0.999119,0.998827,0.998960,0.998960,31666712588
2022-07-03,0.998953,0.999128,0.998891,0.999078,0.999078,27890770459
2022-07-04,0.999071,0.999223,0.998991,0.999109,0.999109,37816157114
2022-07-05,0.999118,0.999248,0.998936,0.999092,0.999092,46794873591
2022-07-06,0.999095,0.999221,0.998960,0.999098,0.999098,41932894214
2022-07-07,0.999089,0.999506,0.999019,0.999446,0.999446,41395542117
2022-07-08,0.999411,0.999576,0.999285,0.999418,0.999418,64720676603
2022-07-09,0.999422,0.999572,0.999333,0.999538,0.999538,38957001478
